model,excerpt,film,category,true_wer,S,D,I,C,n_ref,true_mer,true_cer,sub_wer,calibration
model-asr,GD1_cafe_baseline,Groundhog Day (1993),clean,0.04129793510324484,6,6,2,327,339,0.04105571847507331,0.023809523809523808,0.15436241610738255,0.11306448100413771
model-asr,AFGM1_jessep_cross,A Few Good Men (1992),clean,0.0979020979020979,22,44,4,649,715,0.09735744089012517,0.07163781624500666,0.2224025974025974,0.1245004995004995
model-asr,SN1_bar_breakup,The Social Network (2010),fast_overlap,0.09764035801464606,70,43,7,1116,1229,0.0970873786407767,0.06146341463414634,0.10378912685337727,0.006148768838731208
model-asr,WH1_rushing_dragging,Whiplash (2014),music,0.15609756097560976,25,22,17,363,410,0.14988290398126464,0.11473788328387735,0.18157894736842106,0.025481386392811306
model-asr,BD2_diner_baby,Baby Driver (2017),music,0.18118466898954705,21,30,1,236,287,0.18055555555555555,0.12,0.15151515151515152,-0.02966951747439553
model-asr,EQ1_diner_clean,The Equalizer (2014),clean,0.19900497512437812,27,7,6,167,201,0.1932367149758454,0.11414141414141414,0.14432989690721648,-0.05467507821716164
model-asr,EQ2_mobmeeting_overlap,The Equalizer (2014),fast_overlap,0.1787878787878788,31,24,4,275,330,0.17664670658682635,0.10801186943620178,0.2181208053691275,0.039332926581248706
model-asr,EQ3_store_robbery_noise,The Equalizer (2014),noise,0.16901408450704225,17,4,3,121,142,0.16551724137931034,0.0953757225433526,0.19083969465648856,0.02182561014944631
model-asr,EQ4_homemart_music,The Equalizer (2014),music,0.5294117647058824,13,34,7,55,102,0.4954128440366973,0.38735177865612647,0.47368421052631576,-0.055727554179566596
model-stt,GD1_cafe_baseline,Groundhog Day (1993),clean,0.032448377581120944,3,6,2,330,339,0.03225806451612903,0.018315018315018316,0.14429530201342283,0.11184692443230189
model-stt,AFGM1_jessep_cross,A Few Good Men (1992),clean,0.06433566433566433,15,26,5,674,715,0.06388888888888888,0.0492676431424767,0.22727272727272727,0.16293706293706295
model-stt,SN1_bar_breakup,The Social Network (2010),fast_overlap,0.05532953620829943,43,18,7,1168,1229,0.05501618122977346,0.0367479674796748,0.06260296540362438,0.007273429195324949
model-stt,WH1_rushing_dragging,Whiplash (2014),music,0.12195121951219512,29,16,5,365,410,0.12048192771084337,0.07863501483679525,0.12894736842105264,0.006996148908857525
model-stt,BD2_diner_baby,Baby Driver (2017),music,0.13937282229965156,7,32,1,248,287,0.1388888888888889,0.10692307692307693,0.10606060606060606,-0.0333122162390455
model-stt,EQ1_diner_clean,The Equalizer (2014),clean,0.16417910447761194,21,4,8,176,201,0.15789473684210525,0.10101010101010101,0.12886597938144329,-0.03531312509616866
model-stt,EQ2_mobmeeting_overlap,The Equalizer (2014),fast_overlap,0.11515151515151516,21,10,7,299,330,0.11275964391691394,0.06350148367952523,0.15436241610738255,0.03921090095586739
model-stt,EQ3_store_robbery_noise,The Equalizer (2014),noise,0.19014084507042253,9,9,9,124,142,0.17880794701986755,0.1329479768786127,0.2366412213740458,0.046500376303623275
model-stt,EQ4_homemart_music,The Equalizer (2014),music,0.5196078431372549,14,36,3,52,102,0.5047619047619047,0.4031620553359684,0.4342105263157895,-0.08539731682146545
